,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,Region,Income Group,School Closures,As of,Date,Number of confirmed cases at time of closure,Planned Reopening,Planned Length of Closure (Weeks),Closure extended?,Planned re-opening 2,Details of closure,"Reopening process started
(Y/N/School year ended)",Date reopening process started,Number of cases at re-opening,Total Weeks closed,Details of re-opening,Remote/online tuition?,Online,Radio,TV,Sending work home with students / providing hardcopies of materials,Distance curriculum available in multiple languages?,Details of language of materials,Parent guide?,Details of parent guidance,Education Emergency Plan?,National exams impacted?,National exams impacted? (Detail),Plans for Special Education? (Y/N),Special Education detail,Broader workplace closures?,Existing Cash Transfer Supplemented?,Details of Cash Transfer / social proection program,Other supports - Childcare,Other supports - Childcare (Detail),Other supports - Meals,Other supports - Meals (Details),Other supports - Other,Source,Source,Facebook Page,Official COVID Education Policy Document,Source for Re-opening
Bhutan,BTN,South Asia,Lower middle income,Yes,,13 March,1,Indefinitely,,,,Initially closed until March 19th. Order was extended indefinitely on March 18th. ,No,,,,,"MoE released ""Education in Emergencies"" curriculum. 

""As an alternative to formal mode of delivery, instructions on key learning areas are delivered remotely through the use of broadcast and social media. This mode of lesson delivery may appear to pose inconveniences to assess students’ learning. In this juncture, lesson developers and presenters are reminded to make lessons interactive and experiential learning, and pose competency based or thought provoking questions during or at the end of every lesson. Students submit responses to these questions to their respective subjects teachers for assessment and grading their work""

""During emergency, lessons are delivered through the use of television, radio and other social media in key stages and theme based approach. Lessons are delivered through BBS1 and BBS2 supplemented with Google classroom, Youtube, Wechats and other social media. The suggested broadcast timetable is provided.""

Counseling services will be available to students on Facebook through MoE/school counselors

As part of the Bhutan Education Emergency Response Plan for the COVID 19 crisis, the Government made internet packages available to all public and private education students. The packages are available for students both in public and private from 7am to noon",Yes,Yes,Yes,No,No,Available in English,No,,Yes (new),,,Yes,MoE put out some guideliens for supporting children with disabilities during COVID. The guidelines focus mostly on health.,,,,,,,,,"http://www.education.gov.bt/index.php/notification-6/

http://www.education.gov.bt/wp-content/uploads/2020/03/FINAL-EIE-Curriculum-Implementation-Guidelines.pdf",https://www.facebook.com/pg/MoHBhutan/posts/,https://www.facebook.com/SherigBhutan/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/bhutan_covid-19_response_plan_guidelines-for-curriculum-implementation.pdf,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,Yes,,12 March,3,31 March,3,Yes,April 15,School closure extended to April 15th on March 27th. ,No,,,,,"MoE implementing virtual learning platforms

""The Ministry of Education invites you to visit the virtual library ""Planeta de Libros: KeepReadingEnCasa"" at the following link""",Yes,No,No,No,No,Available in Spanish,Yes,"Manual avaialble for parents, students, and teachers. Materials in Spanish. ",Yes (new),,,,,,Yes,"New cash transfer program launched (Gentilini)

Waiving mortgages and
other financial
obligations",,,Yes,"Cash transfer offered to support missed school meals. ""The government introduced the Bono Familia program to compensate lowincome families who will not have school feeding meals during this time of quarantine. An amount of 500 Bolivianos (US$ 72.6) will be paid for each child in elementary school. The benefit will be delivered in April"" (Gentilini)",Utility/financial obligation support,https://www.reuters.com/article/us-health-coronavirus-argentina/latin-american-countries-ramp-up-travel-bans-school-closures-over-coronavirus-idUSKBN20Z23G,http://dgfm.minedu.gob.bo/ap/web/,https://www.facebook.com/minedubol/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/bolivia_pnce-2020.pdf,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,Yes,,11 March,,15 days,2,,,,School year ended,,,,,"""Related to this, UNICEF in BiH has prepared and published on its website free digital distance learning tools with a lot of useful content for preschool and primary and secondary school students as well as teachers and other education professionals.""",Yes,No,No,No,No,"From MoE RE: distance learning materials: ""It is an informal curriculum and the available contents are in English. Although the available content is not in the teaching languages ​​or the official languages ​​of BiH, we believe that it will be useful to many teachers and students who speak English.""",No,,,,,,,,Yes,"(Gentilini) Assitance to low-incomes families and seniors

Additional unemployment benefits",,,,,New cash transfers at the local level for elderly and low-income families; unemployment benefits (Gentilini),http://www.fmon.gov.ba/Obavjest/Pregled/529,,https://www.facebook.com/fmon.gov.ba,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,Yes,,23 March,0,Indefinitely,,,,Closure announced March 18th,Yes,2 June,,,,Daily schedule of radio programming available from MoE; e-learning available; educational television programming available on BTV.,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,"https://twitter.com/BWGovernment/status/1240318319414185984/photo/1

https://twitter.com/BWGovernment/status/1255512164128956418/photo/1","https://twitter.com/samirasawlani/status/1255549007989899266/photo/1

https://twitter.com/BWGovernment/status/1255512164128956418/photo/1",https://www.facebook.com/thutomodingBotswana/,,
Brazil,BRA,Latin America & Caribbean,Upper middle income,Yes,,17 March,291,31 March,2,Yes,31 May,"To monitor the situation in the basic, professional, technological and higher education units, MEC created an online system that allows the integration of data on the coronavirus. The tool will gather information from the School Census (basic education) and Higher Education, as well as the number of infected people and institutions with suspended classes.

On April 1 the federal government declared that minimum 200 days of instruction could be adjusted to take place outside of the orginally scheduled school year. 

Most of the coordination on school re-openings and distance learning are currently done by state governments.",No,,,,,"Distance learning mentioned by MoE for closed schools

Primarily through 'Click School' app 

Poetry and other literacy programs available from MoE through YouTube

Federal government releasing additional funds to improve the hygiene standards of schools. 

Free online literacy teaching training for parents and teachers to support them in instruction while schools are closed.

Most states are using national TV channels for distance learning and online tools (including social media to communicate with parents). Some states include printed material for families without access to the internet. ",Yes,No,Yes,No,,May vary by state. No multilingual options available from MoE,Yes,"Parent guides available in Portugese from MoE. Focused on building family litercy.

Online training also available for parents to support with home-based literacy instruction. ",Yes (new),No,The MoE has not changed the National High School Examination (ENEM) date. Some congress members are pushing for it to be postponed however.,,,,Yes,"Coverage of the Bolsa Família program increased by 1M households (Gentilini)

Cash Transfer to informal workers of R$ 600",,,Yes (some),"The federal government signed a law that authorizes, on an exceptional basis, the distribution of food purchased with resources from the National School Feeding Program (PNAE) to parents or guardians. The measure was taken because most public schools in the country have suspended classes.",New cash transfer for people in the informal labor market,"http://portal.mec.gov.br/component/content/index.php?option=com_content&view=article&id=86341:comite-de-emergencia-do-mec-define-primeiras-acoes-contra-o-coronavirus&catid=33381&Itemid=86

http://portal.mec.gov.br/component/content/index.php?option=com_content&view=article&id=86581:mec-amplia-capacidade-de-comunicacao-a-distancia-em-universidade-e-institutos-federais&catid=12&Itemid=86

https://www.saopaulo.sp.gov.br/spnoticias/governo-do-estado-anuncia-programa-merenda-em-casa-para-700-mil-alunos/

https://www12.senado.leg.br/noticias/materias/2020/03/26/envio-de-merenda-para-estudante-deve-ter-aprovacao-rapida-aponta-presidente-da-ce

","http://alfabetizacao.mec.gov.br/#

http://portal.mec.gov.br/component/content/index.php?option=com_content&view=article&id=86791%3Acoronavirus-saiba-quais-medidas-o-mec-ja-realizou-ou-estao-em-andamento&catid=12&Itemid=86

http://portal.mec.gov.br/component/content/index.php?option=com_content&view=article&id=86791%3Acoronavirus-saiba-quais-medidas-o-mec-ja-realizou-ou-estao-em-andamento&catid=12&Itemid=86",https://www.facebook.com/ministeriodaeducacao/,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/brasil_medida_provisoria_934.pdf,
British Virgin Islands,VGB,Latin America & Caribbean,High income,Yes,,17 March,0,3 April,2,,,Schools officially closed until April 3 and easter break is April 4-19th making it so closures are effectively March 17 - April 20. ,No,,,,,"""Online teaching will be heavily used during this period using platforms including Cisco Wbex, CXC, Notemaster, Flow Study, Google Classroom and Class Dojo. The Minister for Education further stated that the ministry is holding discussions with telecommunications companies, potential donors, and other entities, in hopes of expanding access to technological resources and the internet. Further updates in this regard are forthcoming.""

MoE providing additional resources / technology to students without technology at home.

MoE made laptops etc available to students in need to support remote learning. ""These resources include laptops, device loan programme, video packages as well as commitment from telecommunication companies to lower prices of data packages or even special data package offerings for students and teachers.""",Yes,No,No,No,No,Materials in English.,No,,,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,,,,"https://bvi.gov.vg/media-centre/students-told-keep-learning-while-home
",https://www.cxc.org/may-june-strategy-2020/,https://www.facebook.com/BVIGovernment,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,Yes,,21 March,91,Indefinitely,,,,"Brunei moved the school break up by one week (originally scheduled to start March 16 and was moved/extended to March 11th)

Schools closed for all through June 2. Beginning June 2 only those sitting for exams can return to school for review classes. ",Yes,2 June,,,,"Online learning platforms available. ""DST in collaboration with Ministry of Education (MOE) and supported by Ministry of Finance and Economy (MOFE) and Unified National Networks (UNN) has introduced an educational data add-on bundle called EduPack.""",Yes,No,Yes,No,,,,,,,,,,,,,,,,,,https://www.straitstimes.com/asia/se-asia/coronavirus-brunei-reports-5-more-cases-bringing-total-to-six,,https://www.facebook.com/pages/category/Education/Ministry-of-Education-Brunei-Darussalam-1522081884566064/,,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,Yes,,13 March,23,29 March,2,Yes,End of year,"Schools closed from March 16-29th. Decision made March 13th. ""The days from March 16 to March 29, 2020 will be absent at school. The decision comes as a result of an order of the Minister of Health issued in connection with the complicated epidemic situation related to the spread of COVID-19 in Bulgaria and the state of emergency declared by the National Assembly, as well as with the recommendations of the National Operational Staff.""",School year ended,,,,,"Online learning platforms available through MoE. 

""The order provides for the introduction of distance learning in schools.
The Ministry of Education and Science has made recommendations to educational institutions for organizing and conducting non-attendance classes. Additional methodological and technical support is provided for schools and teachers to implement individual and specific plans for absenteeism.""",Yes,No,No,No,,,Yes,Letter with guidance from MoE available in Bulgarian. ,,,,,,,,,,,Yes,"Expanding the coverage and scope of the home visiting services provided to elderly people and other vulnerable groups (people with disabilities), including the delivery of food and medicines",Unemployment benefits; disability pensions; unemployment benefits; wage subsidies,https://www.usnews.com/news/world/articles/2020-03-13/bulgaria-declares-state-of-emergency-over-coronavirus,,https://www.facebook.com/%D0%9C%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D0%B5%D1%80%D1%81%D1%82%D0%B2%D0%BE-%D0%BD%D0%B0-%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%D1%82%D0%BE-%D0%B8-%D0%BD%D0%B0%D1%83%D0%BA%D0%B0%D1%82%D0%B0-1557953497816581/,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,Yes,,16 March,2,30 April,6,Yes,,Schools initially closed March 16th.,Yes,1 June,,,Gradual reopening planned to begin May 11,Nothing as of March 19th,No,Yes,No,No,,,,,,,,,,,,,,,,,,"https://www.aljazeera.com/news/2020/03/burkina-faso-covid-19-fight-complicated-war-displacement-200316053216529.html

https://www.france24.com/en/20200319-burkina-faso-sub-saharan-africa-coronavirus-covid19-death-who-tedros-adhanom-ghebreyesus",https://www.wakatsera.com/coronavirus-au-burkina-le-calendrier-de-reprise-des-cours/,,,
Burundi,BDI,Sub-Saharan Africa,Low income,No,25 March,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,No,25 March,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,East Asia & Pacific,Lower middle income,Yes,,14 March,24,Indefinitely,,,,,No,,,,,"Online learning available through materials posted on Facebook and youtube by the MoE. Students can access via phone or computer. 

""KOICA Cambodia funded the launch of the Khmer e-learning platform called ""Khmer Academy"" that enables grade-school students 7 to 12 are accessible and free online lessons for coping with the disease 19.""",Yes,No,No,No,No,Available in Khmer,Yes,Information available for parents in Khmer,,,,,,,,,,,,,,https://www.bangkokpost.com/world/1880510/cambodia-coronavirus-cases-double-to-24,http://www.moeys.gov.kh/index.php/kh/,https://www.facebook.com/moeys.gov.kh,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Yes,,18 March,13,Indefinitely,,,,Nothing as of March 19,Yes,1 June,,,,,No,No,No,No,,,,,,Yes,? Exam will be moved. See link (in French),,,,,,,,,,,http://www.minesec.gov.cm/en/accueil/,https://www.bbc.com/pidgin/tori-51907641,https://www.facebook.com/photo.php?fbid=3241854149166460&set=gm.1306431689746180&type=3&theater&ifg=1,,
Canada,CAN,North America,High income,Yes,,15 March,244,,,,,Dates and lengths of closures vary by province. ,Yes,,,,,Varies by province,Yes,,Yes,,,Varies by province,,,Yes (new),Yes,Provincial exams cancelled in some places. ,,,,,,,,,,Offering sick leave benefits; cash transfer for those who don't qualify for employment insurance (Gentilini),,,,https://planipolis.iiep.unesco.org/en/2020/canada-ministries-education-decisions-covid-19-6894,
Cayman Islands,CYM,Latin America & Caribbean,High income,Yes,,13 March,1,27 April,6,,,All schools closed until April 27th. MoE will re-evaluate on April 20th.,School year ended,,,,,"""All government schools have implemented a variety of distance learning techniques and tools to ensure continuation of learning among their students.“Ahead of the announcement of school closures, we sent out a survey to parents to ascertain their access levels to technology, understanding capabilities vary per household. This aided efforts to implement contingencies for home learning. Further to the 1600 survey responses received so far, each school has provided educational instruction through a combination of channels including paper-based learning packages, a daily timetable, access to online platforms such as the Raz Kids, EDU365 Everest, Study Ladders, Purple Mash, Oxford Owl, Epic as well as access to PowerMath, English and Science Resources online,” stated Acting Director of DES, Tammy Hopkins.“We encourage parents to create a quiet workspace for children away from distractions and encourage them to maintain good learning and working habits,” Mrs. Hopkins. “This will allow you to simulate the classroom environment and maximise the learning effect.”Teachers will continue to communicate directly with parents and students through traditional communication methods such as telephone calls, WhatsApp messages and emails as well as through the use of Class Dojo, Edomodo, Google Classroom, Skype and Zoom.""",Yes,No,No,No,No,Available in English,Yes,"Instructions for parents in English. ""“We encourage parents to create a quiet workspace for children away from distractions and encourage them to maintain good learning and working habits,” Mrs. Hopkins. “This will allow you to simulate the classroom environment and maximise the learning effect.”",,Yes,"CXC announced changes in timing, length, and format ofCaribbean Secondary Examination Certificate (CSEC) and the Caribbean Advanced Proficiency Examination (CAPE) on March 26th. Exams will be held in July and will be administered in an e-testing format to allow results to be obtained more quickly. Content may also be shortened. ",,,,,,,,,,,"http://www.education.gov.ky/portal/page/portal/mehhome

http://www.education.gov.ky/portal/page/portal/mehhome/pressroom/2014/Government%20Schools%20Outline%20Plans%20for%20Continuation%20of%20Learning","https://www.caymancompass.com/2020/03/12/breaking-1st-confirmed-case-of-covid-19-in-cayman/

https://www.cxc.org/may-june-strategy-2020/",https://www.facebook.com/educationcayman/,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,Yes,,2 April,6,,,,,Coded as closed based on UNESCO database on April 2. No informaiton available yet. ,No information,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.africanews.com/2020/04/02/coronavirus-in-africa-breakdown-of-infected-virus-free-countries/,,,,
Chad,TCD,Sub-Saharan Africa,Low income,Yes,,20 March,1,Indefinitely,,,,"""As a result of this situation, lessons are suspended at all levels throughout the territory from this Friday until further notice. The decision was taken yesterday by the Minister of National Education and that of Higher Education who jointly signed an official statement.""",No information,,,,,Nothing as of March 20,No,No,No,No,,,,,,,,,,,,,,,,,,https://www.reuters.com/article/us-health-coronavirus-chad/chad-confirms-first-case-of-coronavirus-government-statement-idUSKBN2162LO,https://www.presidence.td/fr-synth-1111-Vendredi_le_20_mars_2020.html,,,
Channel Islands,CHI,Europe & Central Asia,High income,Yes (some areas),,18 March,6,Indefinitely,,,,Schools closed on Island of Jersey; some closures on others as well. Most cases are in Jersey. ,Yes,8 June,,,,Nothing as of March 19th.,No,No,No,No,,,No,,,,Waiting guidance on A-levels from UK government. ,,,,,,,,,,,https://www.gov.je/Government/Departments/Education/Pages/index.aspx,,https://www.facebook.com/GovernmentofJersey,,
Chile,CHL,Latin America & Caribbean,High income,Yes,,13 March,43,27 April,6,,,Initially closed for 2 weeks. Extended until April 27 on March 25th,No,,,,,"MoE providing online learning opportunities with the following message for those without Internet: ""students who do not have internet access at home, must follow the monthly work plan through their textbooks. In case they do not have texts yet, their agent must approach the establishment and request a printed copy.""",Yes,No,No,Yes,No,Available in Spanish.,Yes,Resources available for parents and students online. Available in Spanish. ,Yes (new),,,,,,,,,,Yes,MoE delivering school feeding baskets.,Cash transfer to those in informal sector; paid sick leave (Gentilini),"https://www.mineduc.cl/mineduc-activa-plan-de-accion-para-instituciones-de-educacion-superior/

https://twitter.com/Mineduc

https://curriculumnacional.mineduc.cl/estudiante/621/w3-propertyname-822.html",https://www.usnews.com/news/world/articles/2020-03-13/chile-bans-large-public-events-over-coronavirus-fears-ahead-of-planned-protests,https://www.facebook.com/mineduc,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/chile_orientacionesmineduc_covid19.pdf,
China,CHN,East Asia & Pacific,Upper middle income,Yes (some areas),,17 February,"70,548",Indefinitely,,,,"Students were a school break when COVID initially broke out and were supposed to return to school on Feb. 17th. Return has been postponed indefinitely. 

Feb 17 - March 16 all schools closed. As of mid-March schools in some are starting to reopen. (Source from March)

School reopenings delayed until May.",Yes,27 April,,,"Gradual re-opening by city. April 27 - ""Shanghai welcomed back pupils in their final years of middle and high school, while Beijing allowed students preparing for China's university entrance exam in July to return."" Wuhan scheduled to open schools May 6. ",Primary and secondary schools were required by MoE to offer online learning opportunities for students. Lots of online and TV based educational programming available including web-based classroom instruction with teachers. ,Yes,No,Yes,No,,,,,Yes (new),,,,,,Yes,Increase in Dibao cash transfer coverage and benefits (Gentilini),,,Yes,Working with private sector to continue food distribution to students. ,Waiving social security contributions; wage subsidy; training/activation measures (Gentilini),"https://america.cgtn.com/2020/02/19/how-does-the-chinese-education-system-cope-with-the-virus-outbreak-challenge

http://www.xinhuanet.com/english/2020-02/17/c_138792006.htm

https://www.aljazeera.com/news/2020/03/china-life-returning-normal-coronavirus-outbreak-slows-200317084803189.html","https://edition.cnn.com/2020/02/28/asia/remote-school-education-intl-hnk/index.html

https://www.devex.com/news/wfp-repackages-efforts-to-reach-hungry-children-as-covid-19-closes-schools-96878",,https://planipolis.iiep.unesco.org/sites/planipolis/files/ressources/china_covid19_prevention_control_primary_middle_schools.pdf,https://www.bbc.com/news/world-asia-china-52441152
